Rank,Name,Notable Stats
100,Wayne Knight,"1,373 yards, 9 TD, 207 carries"
99,Devon Dampier,"2,490 yards, 24 TD, 84.4 QBR"
98,Dalton Johnson,"97 total tackles, 4 INT, 11 PD"
97,J'Mari Taylor,"1,062 yards, 15 TD, 253 rec yards"
96,Eric McAlister,"1,190 yards, 10 TD, 72 rec"
95,Jakari Foster,"58 total tackles, 8 INT, 5 PBU"
94,Noah Fifita,"3,228 passing yards, 29 TD, 222 rush yards"
93,Caleb Tiernan,Allowed 0 sacks in 8 of 9 league games
92,Wyatt Young,"1,264 rec yards, 10 TD, 18.1 avg"
91,Byrum Brown,"3,158 yards, 28 TD, 77.8 QBR"
90,Sammy Brown,"106 total tackles, 5 sacks, 13.5 TFL"
89,Olaivavega Ioane,0.7% pressure rate allowed
88,Elijah Green,"59 total tackles, 5 INT, 1 FR"
87,Mario Craver,"917 yards, 4 TD, 59 rec"
86,Tanner Koziol,"727 yards, 6 TD, 74 rec"
85,Jake Slaughter,"2 pressures allowed, 717 snaps played"
84,Red Murdock,"6 FF, 142 total tackles, 5 sacks"
83,Keagen Trost,98.6% pass-blocking grade
82,Rasheem Biles,"101 total tackles, 17 TFL, 2 INT"
81,J.C. Davis,Only 17 pressures allowed
80,Gideon ESPN Lampron,"119 total tackles, 17.5 TFL, 2 FF"
79,Stephen Daley,"19 TFL, 5.5 sacks, 2 FF"
78,Brian Parker II,"15 pressures, 4 sacks allowed"
77,Suntarine Perkins,"81 total tackles, 4.5 sacks, 3 FF"
76,Elijah Sarratt,"830 yards, 15 TD, 65 rec"
75,Mark Fletcher Jr.,"1,192 yards, 12 TD, 216 carries"
74,Keylan Rutledge,Three pressures allowed on 840 snaps
73,Bray Hubbard,"80 total tackles, 4 INT, 6 PBU"
72,Daylen Everette,"49 total tackles, 8 PD, 1 INT"
71,Beau Stephens,"672 offensive snaps, 0 sacks allowed"
70,Landon Robinson,"6.5 sacks, 64 total tackles"
69,LJ Martin,"1,305 yards, 12 TD, 36 rec"
68,Caleb Hawkins,"1,434 yards, 25 TD, 231 carries"
67,Drew Mestemaker,"4,379 yards, 34 TD, 74.8 QBR"
66,Sonny Styles,"83 total tackles, 1 FF, 1 sack"
65,Darian Mensah,"3,973 yards, 35 TD, 76.6 QBR"
64,Gunner Stockton,"2,894 yards, 24 TD, 84.9 QBR"
63,Pat Coogan,Only four pressures allowed
62,Anthony Smith,"12.5 sacks, 17.5 TFLs, 7 QB hurries"
61,Danny Scudero,"1,291 rec yards, 10 TD, 88 rec"
60,A.J. Haulcy,"89 total tackles, 3 INT, 4 PBU"
59,Zachariah Branch,"811 yards, 6 TD, 81 rec"
58,Arch Manning,"3,163 yards, 26 TD, 78.0 QBR"
57,Dillon Thieneman,"96 total tackles, 2 INT, 7 PD"
56,Jayden Maiava,"3,711 yards, 24 TD, 89.9 QBR"
55,Omar Cooper Jr.,"937 rec yards, 13 TD, 69 rec"
54,A'Mauri Washington,"8 PBU, 4.5 TFL, 5 QB hurries"
53,CJ Carr,"2,741 yards, 27 TD, 83.4 QBR"
52,KJ Duff,"1,084 yards, 7 TD, 60 rec"
51,Hezekiah Masses,"18 PD, 5 INT"
50,Carnell Tate,"875 yards, 9 TD, 51 rec"
49,Carson Beck,"3,813 yards, 30 TD, 81.8 QBR"
48,Will Echoles,"68 total tackles, 11.5 TFL, 5 PD"
47,Ty Simpson,"3,567 yards, 28 TD, 76.0 QBR"
46,Romello Height,"38 total tackles, 11 TFL, 9 sacks"
45,Haynes King,"3,904 total yards, 29 TD, 78.6 QBR"
44,Cam Cook,"1,659 yards, 16 TD, 295 carries"
43,John Henry Daley,"24 solo tackles, 11.5 sacks, 17.5 TFL"
42,Nadame Tucker,"14.5 sacks, 4 FF, 21 TFL"
41,Kenyon Sadiq,"560 yards, 8 TD, 51 rec"
40,Emmett Johnson,"1,451 yards, 12 TD, 5.8 ypc"
39,Emmanuel Pregnon,Only four pressures allowed
38,Caden Curry,"66 total tackles, 11 sacks, 1 FF"
37,Keionte Scott,"64 total tackles, 5 sacks, 2 INT"
36,Chris Johnson,"49 total tackles, 4 INT, 9 PBUs"
35,Skyler Bell,"1,278 rec yards, 13 TD, 101 rec"
34,Logan Jones,756 rushing/passing blocks
33,Eli Stowers,"769 yards, 4 TD, 62 rec"
32,Bishop Fitzgerald,"51 total tackles, 5 INT, 1 pick-six"
31,Colin Simmons,"12 sacks, 52 pressures, 3 FF"
30,Brice Pollock,"48 total tackles, 5 INT, 5 PBU"
29,Aiden Fisher,"10.5 TFL, 4.5 sacks, 2 INT"
28,Akheem Mesidor,"63 total tackles, 17.5 TFL, 12.5 sacks"
27,Mansoor Delane,"2 INT, 11 PBU, 4 FF"
26,Malachi Toney,"1,211 yards, 13 TD, 109 rec"
25,CJ Allen,"3.5 sacks, 2 FF, 1 fumble recovery"
24,Dante Moore,"3,565 yards, 30 TD, 78.6 QBR"
23,Julian Sayin,"3,160 yards, 32 TD, 8 INT"
22,Lee Hunter,"34 total tackles, 8 TFL, 2.5 sacks"
21,KC Concepcion,"919 yards, 9 TD, 61 rec"
20,Kewan Lacy,"1,567 yards, 24 TD, 29 rec"
19,Ahmad Hardy,"1,649 yards, 16 TD, 256 carries"
18,Carter Smith,Only eight pressures allowed
17,Arvell Reese,"69 total tackles, 6.5 sacks, 9 TFL"
16,D'Angelo Ponds,"10 PBUs, 61 total tackles, 2 INT"
15,Leonard Moore,"23 solo tackles, 1 FF, 5 INT"
14,Kayden McDonald,"65 total tackles, 3 sacks, 2 FF"
13,Makai Lemon,"1,156 yards, 11 TD, 79 rec"
12,Francis Mauigoa,"2 sacks allowed, 41 career starts"
11,Spencer Fano,1.1% pressures allowed
10,Cashius Howell,"11.5 sacks, 40 pressures"
9,Diego Pavia,"3,539 yards, 39 total TD"
8,Jeremiah Smith,"1,243 yards, 12 TD, 87 rec"
7,Trinidad Chambliss,"3,937 yards, 22 TD, 86.5 QBR"
6,Jeremiyah Love,"1,372 yards, 18 TD, 199 carries"
5,Caleb Downs,"68 total tackles, 2 FF, 2 INT"
4,Jacob Rodriguez,"117 total tackles, 11 TFL, 7 FF"
3,David Bailey,"17.5 TFL, 13.5 sacks, 3 FF"
2,Rueben Bain Jr.,"9.5 sacks, 15.5 TFL, 68 pressures"
1,Fernando Mendoza,"3,535 yards, 41 TD, 90.3 QBR"
